date,exposure,r_v30,r_v31,qqq_ret
1987-08-31,1.3894,0.00480990,0.00481824,0.00352000
1987-09-01,1.3894,-0.01785164,-0.01784329,-0.01279000
1987-09-02,1.3894,-0.00783388,-0.00782553,-0.00558000
1987-09-03,1.3894,-0.00487440,-0.00486606,-0.00345000
1987-09-04,1.5230,-0.00722685,-0.00721564,-0.00463000
1987-09-08,1.5230,-0.03111670,-0.03110550,-0.02036000
1987-09-09,1.4018,0.01181339,0.01182200,0.00853000
1987-09-10,1.4018,0.02474260,0.02475121,0.01771000
1987-09-11,1.4018,0.00814517,0.00815378,0.00587000
1987-09-14,1.4018,-0.00824199,-0.00823338,-0.00582000
1987-09-15,1.2971,-0.01845560,-0.01844923,-0.01414000
1987-09-16,1.2971,-0.00615827,-0.00615190,-0.00470000
1987-09-17,1.2971,0.00482850,0.00483487,0.00377000
1987-09-18,1.2971,-0.00247439,-0.00246803,-0.00186000
1987-09-21,1.4118,-0.03101829,-0.03100946,-0.02187000
1987-09-22,1.2556,0.02643791,0.02644338,0.02116000
1987-09-23,1.1479,0.01501053,0.01501370,0.01315000
1987-09-24,1.1479,0.00317197,0.00317514,0.00279000
1987-09-25,1.1479,0.00265540,0.00265857,0.00234000
1987-09-28,1.1479,-0.00275129,-0.00274812,-0.00237000
